season_name,team_code,competition
2021-22,43,UCL
2021-22,1,UCL
2021-22,14,UCL
2021-22,8,UCL
2021-22,13,UEL
2021-22,21,UEL
2021-22,6,UECL
2022-23,43,UCL
2022-23,14,UCL
2022-23,8,UCL
2022-23,6,UCL
2022-23,3,UEL
2022-23,1,UEL
2022-23,21,UECL
2023-24,43,UCL
2023-24,3,UCL
2023-24,1,UCL
2023-24,4,UCL
2023-24,14,UEL
2023-24,36,UEL
2023-24,21,UEL
2023-24,7,UECL
2024-25,43,UCL
2024-25,3,UCL
2024-25,14,UCL
2024-25,7,UCL
2024-25,1,UEL
2024-25,6,UEL
2024-25,8,UECL
2025-26,14,UCL
2025-26,3,UCL
2025-26,43,UCL
2025-26,8,UCL
2025-26,4,UCL
2025-26,6,UCL
2025-26,7,UEL
2025-26,17,UEL
2025-26,31,UECL
2026-27,3,UCL
2026-27,43,UCL
2026-27,1,UCL
2026-27,7,UCL
2026-27,14,UCL
2026-27,91,UEL
2026-27,56,UEL
2026-27,31,UEL
2026-27,36,UECL
